index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_recall,validation_age_min_fpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
202,a99dae7c15e2d3485a6beefcbac68881,0020ef77b0e3d5e39f3c7f3757ab710e,0.62793,ab1b244214880e6110609a9a88b86c2c,f84289218cc9fcb4c62bf1230d67eff0,lightgbm.LGBMClassifier,"{'max_depth': 14, 'num_leaves': 46, 'n_estimators': 2073, 'boosting_type': 'goss', 'learning_rate': 0.014202611334706648, 'min_child_samples': 111}",9,Hyperband,0.0,0.0,5.0,100.0,0.6622,0.59781,{'alpha': 'dynamic'},validation,fpr = 5,0.6622,0.59781,dynamic,1.0,FB,0.6838,0.6279,AOF,recall,age_min_fpr_disparity
24,a99dae7c15e2d3485a6beefcbac68881,03d765f374d03cdd8ac5a0d0b84dc058,0.64497,f64c6aa08776e8e69a17609b50c725c1,f010b1cad3bf866f467d607e06866209,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 21, 'min_samples_leaf': 3, 'min_samples_split': 76}",4,RandomSearch,,,,100.0,0.37936,0.91058,{'alpha': 0.5},validation,fpr = 5,0.37936,0.91058,0.5,,RS (alpha=0.5),0.39846,0.95557,AOF,recall,age_min_fpr_disparity
20,a99dae7c15e2d3485a6beefcbac68881,03dfd2818ba187de4fc95ed76adcd7bf,0.68813,96fc8a04f009cdc80634689faf0eca9e,a717d1d5450ba076388d58919158339b,lightgbm.LGBMClassifier,"{'max_depth': 51, 'num_leaves': 20, 'n_estimators': 811, 'boosting_type': 'goss', 'learning_rate': 0.9373192393529987, 'min_child_samples': 107}",9,RandomSearch,,,,100.0,0.56434,0.81192,{'alpha': 0.5},validation,fpr = 5,0.56434,0.81192,0.5,,RS (alpha=0.5),0.60797,0.90669,AOF,recall,age_min_fpr_disparity
23,a99dae7c15e2d3485a6beefcbac68881,0a490aae1c4187e14c7ece18ca551047,0.68231,00baf5a625e374ccb8afcc12c7f7da6d,3de28c7fc301774b6983d7bcac79bf97,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 25, 'max_features': 'log2', 'n_estimators': 103, 'min_samples_leaf': 1, 'min_samples_split': 9}",9,RandomSearch,,,,100.0,0.68231,0.33051,{'alpha': 1},validation,fpr = 5,0.68231,0.33051,1,,RS,0.67352,0.34941,AOF,recall,age_min_fpr_disparity
19,a99dae7c15e2d3485a6beefcbac68881,0e8ebb45422def77a58769d4b7898c41,0.61017,ea7cfa73fadf6007062b392a62076e50,9bff538da6af308b2711be544e029015,lightgbm.LGBMClassifier,"{'max_depth': 87, 'num_leaves': 94, 'n_estimators': 591, 'boosting_type': 'gbdt', 'learning_rate': 0.21702481978618882, 'min_child_samples': 6}",9,RandomSearch,,,,100.0,0.67962,0.54071,{'alpha': 0.5},validation,fpr = 5,0.67962,0.54071,0.5,,RS (alpha=0.5),0.68895,0.58468,AOF,recall,age_min_fpr_disparity
191,a99dae7c15e2d3485a6beefcbac68881,1689a30fbd82cd6dfa1108bb72c27f6b,0.69169,a2ba1b97f9c414cd66fd2970bd68a68c,50d2827700eb379863a4b289ee55ba5e,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 25, 'max_features': 'log2', 'n_estimators': 445, 'min_samples_leaf': 1, 'min_samples_split': 62}",19,Hyperband,2.0,2.0,1.0,100.0,0.69169,0.28098,{'alpha': 1},validation,fpr = 5,0.69169,0.28098,1,1.0,HB,0.69023,0.31234,AOF,recall,age_min_fpr_disparity
22,a99dae7c15e2d3485a6beefcbac68881,235f9c6058252b041d8d15c59e0c004d,0.67158,6371f342ab3259309f5ecc227edbeb64,0bd3d7aa8783e10ead33eaef273082eb,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 27, 'max_features': 'sqrt', 'n_estimators': 117, 'min_samples_leaf': 4, 'min_samples_split': 70}",19,RandomSearch,,,,100.0,0.67158,0.29059,{'alpha': 1},validation,fpr = 5,0.67158,0.29059,1,,RS,0.67224,0.31817,AOF,recall,age_min_fpr_disparity
196,a99dae7c15e2d3485a6beefcbac68881,25dcd73f4304466f4cbdda9024e44b5e,0.67166,e48e1e14d81162b238bc926643b4f6ff,1f7129aa724f38c6a9bc055a1e492ce3,lightgbm.LGBMClassifier,"{'max_depth': 3, 'num_leaves': 27, 'n_estimators': 66, 'boosting_type': 'goss', 'learning_rate': 0.7950198600115346, 'min_child_samples': 14}",9,Hyperband,1.0,0.0,8.0,33.333,0.45442,0.88889,{'alpha': 0.5},validation,fpr = 5,0.45442,0.88889,0.5,0.3333,FB (alpha=0.5),0.48329,0.74568,AOF,recall,age_min_fpr_disparity
121,a99dae7c15e2d3485a6beefcbac68881,26ba5e2a3c35f84693c7b7d6f004be86,0.69973,d1b183e14856f3d880ae785473c9e42f,618c57ad7c9bffd1613993752c65f4f0,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 22, 'max_features': 'sqrt', 'n_estimators': 443, 'min_samples_leaf': 2, 'min_samples_split': 16}",19,Hyperband,4.0,4.0,1.0,100.0,0.69973,0.31909,{'alpha': 1},validation,fpr = 5,0.69973,0.31909,1,1.0,HB,0.68638,0.34386,AOF,recall,age_min_fpr_disparity
5,a99dae7c15e2d3485a6beefcbac68881,285e8ca6ec8a741bf3de25e9d3f54e8b,0.61698,caaecd0e5b6df75e8711a3302edc3d75,e49f028deec72b2909ed5c9d29feeee0,lightgbm.LGBMClassifier,"{'max_depth': 105, 'num_leaves': 74, 'n_estimators': 1507, 'boosting_type': 'goss', 'learning_rate': 0.030808182821801366, 'min_child_samples': 39}",19,RandomSearch,,,,100.0,0.64075,0.5932,{'alpha': 0.5},validation,fpr = 5,0.64075,0.5932,0.5,,RS (alpha=0.5),0.67609,0.62346,AOF,recall,age_min_fpr_disparity
