index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_sex_min_tpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
153,2dd35f877805972a5bef858efd2bfb0d,096c961a86cde55fc4fdc90d56d4acc1,0.92515,e90d361bb0bfc5448ae077a02f47afe2,98f05504756f5a66e28f5515f4c00cdc,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.000670413863287809, 'model__dropout': 0.22340873763791846, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,0.0,34.0,3.704,0.941,0.91024,{'alpha': 'dynamic'},validation,tpr = 50,0.941,0.91024,dynamic,0.037,FB,0.93272,0.84107,Adult,precision,sex_min_tpr_disparity
4,2dd35f877805972a5bef858efd2bfb0d,09797a6dd49c441d0d1c61bef69e2ddc,0.95922,ffa8b120ec9b1ae9201a6634fd9dffa4,cad876af4952ec67447a5e79422310c2,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0005419491056167582, 'model__dropout': 0.018697215649338527, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,0.0,81.0,1.235,0.91896,0.99948,{'alpha': 0.5},validation,tpr = 50,0.91896,0.99948,0.5,0.0123,FB (alpha=0.5),0.91367,0.94126,Adult,precision,sex_min_tpr_disparity
155,2dd35f877805972a5bef858efd2bfb0d,09ff17f285d18a914522bed9a10e6a61,0.93476,592dde8641d47d278a158df7d45f1ce0,772f5373cdb06dc996a79f8474acef54,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0009318940135956215, 'model__dropout': 0.38406024068212274, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,0.0,34.0,3.704,0.93142,0.93815,{'alpha': 'dynamic'},validation,tpr = 50,0.93142,0.93815,dynamic,0.037,FB,0.92774,0.88856,Adult,precision,sex_min_tpr_disparity
156,2dd35f877805972a5bef858efd2bfb0d,0e621ca6bd3550850de28383a36a9eb7,0.93984,7e1266b6f483aaa91345b090acfa8e87,8a3f2ed18191d2b036bf6d656fb63891,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0013763450388214558, 'model__dropout': 0.08817511721043525, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,1.0,11.0,11.111,0.94315,0.93658,{'alpha': 'dynamic'},validation,tpr = 50,0.94315,0.93658,dynamic,0.1111,FB,0.93605,0.88501,Adult,precision,sex_min_tpr_disparity
30,2dd35f877805972a5bef858efd2bfb0d,1207cfb60fbb6bc4a9091b6038c24393,0.95453,25b7ae7ed998f0b159e77417ec8aab68,cbbaad53880e7dace0db138a34868a0c,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.001607725249161229, 'model__dropout': 0.09352364549188784, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,0.0,81.0,1.235,0.92067,0.99373,{'alpha': 'dynamic'},validation,tpr = 50,0.92067,0.99373,dynamic,0.0123,FB,0.91778,0.93524,Adult,precision,sex_min_tpr_disparity
22,2dd35f877805972a5bef858efd2bfb0d,12a9f08489c662f9b97cbb11163bba59,0.99397,fc25364ae3334c98565f3e7774c756dc,49456e7a64cb5ca4333bcc1ac3612c1f,lightgbm.LGBMClassifier,"{'max_depth': 25, 'num_leaves': 22, 'n_estimators': 843, 'boosting_type': 'dart', 'learning_rate': 0.025453789911929828, 'min_child_samples': 4}",,RandomSearch,,,,100.0,0.99397,0.52267,{'alpha': 1},validation,tpr = 50,0.99397,0.52267,1,,RS,0.99225,0.52524,Adult,precision,sex_min_tpr_disparity
167,2dd35f877805972a5bef858efd2bfb0d,14a7d10c2b5e4d1d857792b0910be40b,0.99437,9ed3a1f0e744806b9cf0fb89eb437ad8,7903bbedd6ef8190443e4807e1cb169d,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 23, 'max_features': 'sqrt', 'n_estimators': 330, 'min_samples_leaf': 1, 'min_samples_split': 50}",,Hyperband,3.0,2.0,3.0,33.333,0.99437,0.53474,{'alpha': 1},validation,tpr = 50,0.99437,0.53474,1,0.3333,HB,0.98916,0.54136,Adult,precision,sex_min_tpr_disparity
17,2dd35f877805972a5bef858efd2bfb0d,1f0153cdbfea512d37c8bb0b1ee733aa,0.84806,e6b48da1be4d521ce72a3922fbe77886,f116521806c7e9b334958a1bfaf3f46a,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0033257744467691587, 'model__dropout': 0.3634889629323532, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,RandomSearch,,,,100.0,0.98251,0.71361,{'alpha': 0.5},validation,tpr = 50,0.98251,0.71361,0.5,,RS (alpha=0.5),0.98183,0.68482,Adult,precision,sex_min_tpr_disparity
36,2dd35f877805972a5bef858efd2bfb0d,252c982d1be49a949c5dd23a445e7dd7,0.93922,3e70efbd7a713c82043fdc192aa6781d,9c7fa1e4efc6cf899ecb76a66a810561,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0005772520053595071, 'model__dropout': 0.06366222135908638, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,0.0,81.0,1.235,0.94028,0.93815,{'alpha': 0.5},validation,tpr = 50,0.94028,0.93815,0.5,0.0123,FB (alpha=0.5),0.93342,0.88219,Adult,precision,sex_min_tpr_disparity
24,2dd35f877805972a5bef858efd2bfb0d,26569df0b3b66900f52e3744c8c5ed1c,0.99317,dfcd4a306cc798197c83869d31dfeb1f,4f5e2247cc4991615e3bd5c265c00c94,lightgbm.LGBMClassifier,"{'max_depth': 6, 'num_leaves': 102, 'n_estimators': 2383, 'boosting_type': 'gbdt', 'learning_rate': 0.035378076193080636, 'min_child_samples': 51}",,RandomSearch,,,,100.0,0.99317,0.59909,{'alpha': 1},validation,tpr = 50,0.99317,0.59909,1,,RS,0.99129,0.61084,Adult,precision,sex_min_tpr_disparity
