index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_race_Caucasian_min_fpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
106,f6923eaee1676a0d35f02266e5235350,0101d0688e028b1c2f2360f5ba5c0612,0.84623,f49bcfd7c02cef39d78ba2bcdf58aade,a72e8a0dfd32937be8ac3b82f0384518,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0016805387791177383, 'model__dropout': 0.1076458845921359, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [200, 100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,1.0,27.0,3.704,0.75986,0.98191,{'alpha': 'dynamic'},validation,fpr = 10,0.75986,0.98191,dynamic,0.037,FB,0.73359,0.90369,COMPAS,precision,race_Caucasian_min_fpr_disparity
3,f6923eaee1676a0d35f02266e5235350,025c94be6228f5d336d89b67cde65147,0.73553,da9ccbca0f0ab3f2248a2fa7a42c31d1,b017499467a1c221d11e48f337a102cf,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.001264404071002851, 'model__dropout': 0.32122903938244224, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [500, 200], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,RandomSearch,,,,100.0,0.55034,0.92071,{'alpha': 0.5},validation,fpr = 10,0.55034,0.92071,0.5,,RS (alpha=0.5),0.54938,0.6164,COMPAS,precision,race_Caucasian_min_fpr_disparity
156,f6923eaee1676a0d35f02266e5235350,059e770ae15f87aa6c1847bb7b0eb72b,0.77888,c0a5b4cdce571903d07f9c2c11856e6f,ed6362b019d6780a638c981335410e09,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0037483373042583603, 'model__dropout': 0.010621844285569138, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,1.0,11.0,11.111,0.77888,0.47585,{'alpha': 1},validation,fpr = 10,0.77888,0.47585,1,0.1111,HB,0.75758,0.64444,COMPAS,precision,race_Caucasian_min_fpr_disparity
140,f6923eaee1676a0d35f02266e5235350,084fc049918886f6d48082eb71c3272e,0.8522,8190e004603a5c5607db7a7f86974a5e,a3d0ef9053b18151229ffbbe87d1f16a,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.001959823883282087, 'model__dropout': 0.22743536543309628, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,0.0,34.0,3.704,0.76817,0.98191,{'alpha': 'dynamic'},validation,fpr = 10,0.76817,0.98191,dynamic,0.037,FB,0.71062,0.91327,COMPAS,precision,race_Caucasian_min_fpr_disparity
112,f6923eaee1676a0d35f02266e5235350,0a663f72744976980ec946c3c5167364,0.77592,a05e311813bc428610474fce9ed0ae64,2b1c2e19797125acee39a6064ac495b0,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0007958679268555277, 'model__dropout': 0.004306142577828176, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [500], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,2.0,9.0,11.111,0.77592,0.43575,{'alpha': 1},validation,fpr = 10,0.77592,0.43575,1,0.1111,HB,0.74643,0.59856,COMPAS,precision,race_Caucasian_min_fpr_disparity
181,f6923eaee1676a0d35f02266e5235350,0e7cee33c4992f23373106886ee81911,0.81991,6995b883a065a751ca06c4cbb9a4d1cf,b5f37d54612941fd7c8cf9c5e1c8a089,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0019279404231181691, 'model__dropout': 0.09235864764420017, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [100, 100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,2.0,0.0,15.0,11.111,0.72428,0.98191,{'alpha': 'dynamic'},validation,fpr = 10,0.72428,0.98191,dynamic,0.1111,FB,0.68908,0.87682,COMPAS,precision,race_Caucasian_min_fpr_disparity
170,f6923eaee1676a0d35f02266e5235350,175cc50f580c5102de465dabf521d756,0.77888,4434a8145ce21998f0b598483cc1cda6,3ed7fc112143bf147e2929975d3feb83,sklearn.linear_model.LogisticRegression,"{'C': 0.1, 'tol': 0.00012518374206131928, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 677}",,Hyperband,3.0,3.0,1.0,100.0,0.77888,0.47585,{'alpha': 1},validation,fpr = 10,0.77888,0.47585,1,1.0,HB,0.72603,0.44312,COMPAS,precision,race_Caucasian_min_fpr_disparity
120,f6923eaee1676a0d35f02266e5235350,1bfc52c88e0296b948d09ec8876f798c,0.78105,aef75cbf2041fa8656059e91bd4e8d8e,f3e1baa69cffb079bad5140c47b86f5e,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0015925659047434618, 'model__dropout': 0.3906799783762275, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [100, 100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,3.0,3.0,33.333,0.78105,0.39713,{'alpha': 1},validation,fpr = 10,0.78105,0.39713,1,0.3333,HB,0.75254,0.49952,COMPAS,precision,race_Caucasian_min_fpr_disparity
5,f6923eaee1676a0d35f02266e5235350,265fbd0e3aea9d56973cb08f70505d36,0.73924,c0b6dc1c4531a1fbe0b0f15c3e01bb49,ff66154489e53eb959fb249edd075635,lightgbm.LGBMClassifier,"{'max_depth': 134, 'num_leaves': 112, 'n_estimators': 2534, 'boosting_type': 'dart', 'learning_rate': 0.11401368090898281, 'min_child_samples': 16}",,RandomSearch,,,,100.0,0.72541,0.75308,{'alpha': 0.5},validation,fpr = 10,0.72541,0.75308,0.5,,RS (alpha=0.5),0.67949,0.76316,COMPAS,precision,race_Caucasian_min_fpr_disparity
83,f6923eaee1676a0d35f02266e5235350,2a9c8bb9390399c69f19f36f131ca968,0.7993,9bf910adaf90915f8b9e9ea5adad1a74,212372bf741c4351a48175bed6b6a623,sklearn.linear_model.LogisticRegression,"{'C': 0.001, 'tol': 0.0002463750645308519, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 725}",,Hyperband,4.0,1.0,27.0,3.704,0.67788,0.92071,{'alpha': 0.5},validation,fpr = 10,0.67788,0.92071,0.5,0.037,FB (alpha=0.5),0.60811,0.5166,COMPAS,precision,race_Caucasian_min_fpr_disparity
