index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_poverty_level_min_tpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
10,91b249c337937dc48b614bfd6625c807,0107b52e1860e39744941c3cf16b917a,0.6,97108e23cf5bb0b6173afbd2760a8377,61f90a0dcb08dcb73020e06a1a021f44,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 27, 'max_features': 'sqrt', 'n_estimators': 168, 'min_samples_leaf': 3, 'min_samples_split': 19}",,RandomSearch,,,,100.0,0.6,0.3048,{'alpha': 1},validation,pp = 1000,0.6,0.3048,1,,RS,0.534,0.40707,Donors Choose,precision,poverty_level_min_tpr_disparity
134,91b249c337937dc48b614bfd6625c807,01c44cb187bbca54bf208edbc4eb7f0b,0.76166,6084ddae52821a86eb787ffb9cf52fe7,b4d51c469870f56dff676ff6a52c0aae,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0013693967642466594, 'model__dropout': 0.37013330090674507, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,0.0,34.0,3.704,0.549,0.97432,{'alpha': 0.5},validation,pp = 1000,0.549,0.97432,0.5,0.037,FB (alpha=0.5),0.513,0.8662,Donors Choose,precision,poverty_level_min_tpr_disparity
3,91b249c337937dc48b614bfd6625c807,0350e78d78855489ee30eafeb06890b5,0.75063,10df8deefeeb88441daa9a1804c78aab,443e44cccd056c5ae1396b7ac2c42cd1,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0009007797622401963, 'model__dropout': 0.15002980125844634, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [200], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0}",,RandomSearch,,,,100.0,0.544,0.95726,{'alpha': 0.5},validation,pp = 1000,0.544,0.95726,0.5,,RS (alpha=0.5),0.499,0.77892,Donors Choose,precision,poverty_level_min_tpr_disparity
170,91b249c337937dc48b614bfd6625c807,14645af23d7546adc2c8a1e169965b78,0.69033,454bc227b204b50777ed82d8d09c4324,ac2b3a2eb000777d6f5f8c3c0dcdfa06,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.001823064356049361, 'model__dropout': 0.18374809242689008, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,3.0,1.0,100.0,0.569,0.98333,{'alpha': 'dynamic'},validation,pp = 1000,0.569,0.98333,dynamic,1.0,FB,0.504,0.7896,Donors Choose,precision,poverty_level_min_tpr_disparity
119,91b249c337937dc48b614bfd6625c807,166f08f5beaf12c054432e78d60c91ec,0.67289,169cd8a5d8d328058fa0938c8ae400d9,c88a058ff6b24d38a22289ec4df46494,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.004004465478143585, 'model__dropout': 0.3701218041714814, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [500], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,3.0,3.0,33.333,0.55,0.98504,{'alpha': 'dynamic'},validation,pp = 1000,0.55,0.98504,dynamic,0.3333,FB,0.51,0.83583,Donors Choose,precision,poverty_level_min_tpr_disparity
5,91b249c337937dc48b614bfd6625c807,170a3aff982a7deae0a1360101ac3ac5,0.75798,8c58ada3c1216e18d8942da3484bbaf5,1d8289a0998d2461c4a32cd02e8cdfe1,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.004585801529155873, 'model__dropout': 0.2954936719752928, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [500, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,0.0,81.0,1.235,0.516,0.99995,{'alpha': 0.5},validation,pp = 1000,0.516,0.99995,0.5,0.0123,FB (alpha=0.5),0.498,0.83393,Donors Choose,precision,poverty_level_min_tpr_disparity
6,91b249c337937dc48b614bfd6625c807,173582138efc8f72382e76abf3dd8b9f,0.583,5c9680481cec790fa5cdb5a9dca59039,fefb1bcbce85a964beb46aaf623ba18f,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 27, 'max_features': 'sqrt', 'n_estimators': 61, 'min_samples_leaf': 16, 'min_samples_split': 4}",,RandomSearch,,,,100.0,0.583,0.24118,{'alpha': 1},validation,pp = 1000,0.583,0.24118,1,,RS,0.535,0.3545,Donors Choose,precision,poverty_level_min_tpr_disparity
3,91b249c337937dc48b614bfd6625c807,1e248990c5be1ba3ace6884f94289bb2,0.74649,d93468dc9d00ff6707cec7c33803e055,a09cfc9fadb1f983d7fadf44bb9c947d,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0013519362959271554, 'model__dropout': 0.3699620878874468, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [500], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.001}",,RandomSearch,,,,100.0,0.516,0.97697,{'alpha': 0.5},validation,pp = 1000,0.516,0.97697,0.5,,RS (alpha=0.5),0.503,0.74929,Donors Choose,precision,poverty_level_min_tpr_disparity
200,91b249c337937dc48b614bfd6625c807,1fcf54b175d21d01d4cd400c50290b04,0.607,20f46c37c97d3185c0911456b9b6d026,6aa38671bb3f9471ac1656164fed6f52,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'n_estimators': 176, 'min_samples_leaf': 1, 'min_samples_split': 161}",,Hyperband,1.0,1.0,2.0,100.0,0.607,0.23442,{'alpha': 1},validation,pp = 1000,0.607,0.23442,1,1.0,HB,0.539,0.29191,Donors Choose,precision,poverty_level_min_tpr_disparity
61,91b249c337937dc48b614bfd6625c807,22143d7e0e2b34f57af2c21a1542f846,0.64374,a3473db34b666a7f0d6977ed4abba68c,2129a80be1fd6cd45c646a89828f065a,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0038444843330194276, 'model__dropout': 0.314686003653176, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [100, 100], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,0.0,81.0,1.235,0.519,0.99624,{'alpha': 'dynamic'},validation,pp = 1000,0.519,0.99624,dynamic,0.0123,FB,0.495,0.83007,Donors Choose,precision,poverty_level_min_tpr_disparity
