dataset,task_type,alpha,performance_val,fairness_val,performance_test,fairness_test,model_classpath,hyperparameters,class_ratio,model_config_uuid,model_uuid,si,i,ni,ri,target_threshold,tuner
Adult,Hyperband,dynamic,0.941,0.9102399999999999,0.9327200000000001,0.8410700000000001,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.000670413863287809, 'model__dropout': 0.22340873763791846, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,e90d361bb0bfc5448ae077a02f47afe2,98f05504756f5a66e28f5515f4c00cdc,3.0,0.0,34.0,3.7039999999999997,tpr = 50,FB-auto
Adult,Hyperband,0.5,0.91896,0.9994799999999999,0.9136700000000001,0.94126,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0005419491056167582, 'model__dropout': 0.018697215649338527, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,ffa8b120ec9b1ae9201a6634fd9dffa4,cad876af4952ec67447a5e79422310c2,4.0,0.0,81.0,1.235,tpr = 50,FB
Adult,Hyperband,dynamic,0.93142,0.93815,0.92774,0.88856,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0009318940135956215, 'model__dropout': 0.38406024068212274, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,592dde8641d47d278a158df7d45f1ce0,772f5373cdb06dc996a79f8474acef54,3.0,0.0,34.0,3.7039999999999997,tpr = 50,FB-auto
Adult,Hyperband,dynamic,0.94315,0.93658,0.93605,0.8850100000000001,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0013763450388214558, 'model__dropout': 0.08817511721043525, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,7e1266b6f483aaa91345b090acfa8e87,8a3f2ed18191d2b036bf6d656fb63891,3.0,1.0,11.0,11.110999999999999,tpr = 50,FB-auto
Adult,Hyperband,dynamic,0.9206700000000001,0.9937299999999999,0.9177799999999999,0.93524,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.001607725249161229, 'model__dropout': 0.09352364549188784, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,25b7ae7ed998f0b159e77417ec8aab68,cbbaad53880e7dace0db138a34868a0c,4.0,0.0,81.0,1.235,tpr = 50,FB-auto
Adult,RandomSearch,1,0.99397,0.52267,0.99225,0.5252399999999999,lightgbm.LGBMClassifier,"{'max_depth': 25, 'num_leaves': 22, 'n_estimators': 843, 'boosting_type': 'dart', 'learning_rate': 0.025453789911929828, 'min_child_samples': 4}",,fc25364ae3334c98565f3e7774c756dc,49456e7a64cb5ca4333bcc1ac3612c1f,,,,100.0,tpr = 50,RS
Adult,Hyperband,1,0.9943700000000001,0.53474,0.98916,0.5413600000000001,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 23, 'max_features': 'sqrt', 'n_estimators': 330, 'min_samples_leaf': 1, 'min_samples_split': 50}",,9ed3a1f0e744806b9cf0fb89eb437ad8,7903bbedd6ef8190443e4807e1cb169d,3.0,2.0,3.0,33.333,tpr = 50,HB
Adult,RandomSearch,0.5,0.98251,0.7136100000000001,0.98183,0.68482,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0033257744467691587, 'model__dropout': 0.3634889629323532, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,e6b48da1be4d521ce72a3922fbe77886,f116521806c7e9b334958a1bfaf3f46a,,,,100.0,tpr = 50,FairRS
Adult,Hyperband,0.5,0.9402799999999999,0.93815,0.93342,0.8821899999999999,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0005772520053595071, 'model__dropout': 0.06366222135908638, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,3e70efbd7a713c82043fdc192aa6781d,9c7fa1e4efc6cf899ecb76a66a810561,4.0,0.0,81.0,1.235,tpr = 50,FB
Adult,RandomSearch,1,0.9931700000000001,0.59909,0.99129,0.6108399999999999,lightgbm.LGBMClassifier,"{'max_depth': 6, 'num_leaves': 102, 'n_estimators': 2383, 'boosting_type': 'gbdt', 'learning_rate': 0.035378076193080636, 'min_child_samples': 51}",,dfcd4a306cc798197c83869d31dfeb1f,4f5e2247cc4991615e3bd5c265c00c94,,,,100.0,tpr = 50,RS
